id;start_date;end_date;language
1;2019-09-04T04:06:06;2019-09-03T21:14:23;FRENCH
2;2019-09-04T05:36:12;2019-09-03T14:42:22;SPANISH
3;2019-09-04T01:08:16;2019-09-03T16:32:16;SPANISH
4;2019-09-03T14:20:08;2019-09-03T21:47:09;SPANISH
5;2019-09-03T23:18:47;2019-09-04T04:02:55;FRENCH
6;2019-09-04T05:35:47;2019-09-04T06:52:43;SPANISH
7;2019-09-03T14:58:07;2019-09-04T03:38:54;FRENCH
8;2019-09-03T12:29:26;2019-09-03T20:29:35;ENGLISH
9;2019-09-03T22:17:32;2019-09-04T06:42:10;ENGLISH
10;2019-09-04T01:35:41;2019-09-03T22:51:56;FRENCH
